dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,budget_in_bytes,is_guideline,lookup_time,lookup_accu
books_200M_uint64,200000000,linear_spline,linear_regression,510,none,model_biased_exponential,8192,1,20000000,8192,0,8607755515,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,510,none,model_biased_exponential,8192,2,20000000,8192,0,8607297121,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,0,20000000,8192,0,8302414426,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,1,20000000,8192,0,8310980063,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,2,20000000,8192,0,8301009878,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,255,lind,model_biased_binary,8192,0,20000000,8192,0,8329548628,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,255,lind,model_biased_binary,8192,1,20000000,8192,0,8321216126,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,255,lind,model_biased_binary,8192,2,20000000,8192,0,8329762964,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,509,none,model_biased_exponential,8192,0,20000000,8192,0,9053166382,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,509,none,model_biased_exponential,8192,1,20000000,8192,0,9060586813,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,509,none,model_biased_exponential,8192,2,20000000,8192,0,9051971993,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,339,labs,binary,8184,0,20000000,8192,0,8689766096,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,339,labs,binary,8184,1,20000000,8192,0,8698666246,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,339,labs,binary,8184,2,20000000,8192,0,8688924621,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,254,lind,model_biased_binary,8176,0,20000000,8192,0,8596135009,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,254,lind,model_biased_binary,8176,1,20000000,8192,0,8587066448,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,254,lind,model_biased_binary,8176,2,20000000,8192,0,8587098138,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,510,none,model_biased_exponential,8192,0,20000000,8192,0,9818007896,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,510,none,model_biased_exponential,8192,1,20000000,8192,0,9807577489,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,510,none,model_biased_exponential,8192,2,20000000,8192,0,9817387094,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,340,labs,binary,8192,0,20000000,8192,0,9001432328,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,340,labs,binary,8192,1,20000000,8192,0,9011221176,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,340,labs,binary,8192,2,20000000,8192,0,9001853017,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,255,lind,model_biased_binary,8192,0,20000000,8192,0,9057076576,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,255,lind,model_biased_binary,8192,1,20000000,8192,0,9065567819,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,255,lind,model_biased_binary,8192,2,20000000,8192,0,9056784150,2000207222435828
