dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,ART,"sparcity=4",931492544,2,20000000,3620939107,7699728290,9796643211,4000414464873152,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=4096",956504,0,20000000,105174580,2002558789,14153276130,4000414470493602,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=4096",956504,1,20000000,105137042,2005180805,14153024986,4000414470493602,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=4096",956504,2,20000000,105140533,2002634225,14153080756,4000414470493602,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=512",8982504,0,20000000,171052795,2440275238,10429586492,4000414464008610,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=512",8982504,1,20000000,168490814,2432227268,10429957271,4000414464008610,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=512",8982504,2,20000000,168474420,2443481704,10430045630,4000414464008610,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=64",49097800,0,20000000,468054587,5138846451,9211407296,4000414464806510,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=64",49097800,1,20000000,468242420,5120492776,9208182667,4000414464806510,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=64",49097800,2,20000000,466080704,5132655689,9213596497,4000414464806510,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8",597290368,0,20000000,1972876698,6844778354,9284184987,4000414464897920,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8",597290368,1,20000000,2055497507,6843643935,9282682463,4000414464897920,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8",597290368,2,20000000,2057687513,6803052082,9277774903,4000414464897920,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8192",551696,0,20000000,101354175,2272170045,15119330099,4000414465119650,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8192",551696,1,20000000,100981825,2275836522,15100981704,4000414465119650,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=8192",551696,2,20000000,100970069,2273410651,15097337275,4000414465119650,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1",3.60625e+09,0,20000000,1821936168,20941109909,24102102483,2000207222435828,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1",3.60625e+09,1,20000000,1822369143,20939325490,24101393932,2000207222435828,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1",3.60625e+09,2,20000000,1822456073,20940619349,24101837011,2000207222435828,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1024",3.5228e+06,0,20000000,1061915,3190664269,15449094046,2000217452291537,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1024",3.5228e+06,1,20000000,1059742,3192281815,15466639309,2000217452291537,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=1024",3.5228e+06,2,20000000,1058635,3190706178,15475859382,2000217452291537,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=128",2.81747e+07,0,20000000,14067892,6013748407,16161433920,2000208492408817,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=128",2.81747e+07,1,20000000,13789067,6013068632,16161335112,2000208492408817,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=128",2.81747e+07,2,20000000,13778267,6012945403,16161146205,2000208492408817,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16",2.25391e+08,0,20000000,115418517,11586080737,17770296974,2000207372444768,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16",2.25391e+08,1,20000000,115504753,11585822732,17759723904,2000207372444768,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16",2.25391e+08,2,20000000,115557602,11582770657,17758850111,2000207372444768,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16384",220472,0,20000000,69045,1720711985,18210865968,2000371058351569,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16384",220472,1,20000000,69065,1720417153,18209955288,2000371058351569,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=16384",220472,2,20000000,70988,1720454671,18209022583,2000371058351569,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2",1.80313e+09,0,20000000,918985076,18409422152,22478124253,2000207232436100,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2",1.80313e+09,1,20000000,919797180,18409661702,22473023422,2000207232436100,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2",1.80313e+09,2,20000000,919778478,18407855889,22471092784,2000207232436100,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2048",1.76193e+06,0,20000000,513173,2721110259,15681208162,2000227693024721,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2048",1.76193e+06,1,20000000,537874,2721370141,15684467446,2000227693024721,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=2048",1.76193e+06,2,20000000,536039,2721254608,15690328545,2000227693024721,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=256",1.40875e+07,0,20000000,5720837,4148270357,15884164357,2000209773200869,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=256",1.40875e+07,1,20000000,4888121,4146921513,15883475278,2000209773200869,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=256",1.40875e+07,2,20000000,4872264,4147925387,15886917170,2000209773200869,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=32",1.12696e+08,0,20000000,57975174,9753905525,16736251539,2000207532387290,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=32",1.12696e+08,1,20000000,58072300,9753517635,16729036672,2000207532387290,2000207222435828
