dataset,layer1,layer2,n_models,bounds,size_in_bytes,mean_interval,median_interval,stdev_interval,min_interval,max_interval
books_200M_uint64,linear_spline,linear_regression,2048,lind,65568,861.243,863,496.674,17,2637
books_200M_uint64,cubic_spline,linear_spline,2048,gabs,32824,239978,240019,1778.82,120010,240019
books_200M_uint64,cubic_spline,linear_spline,2048,gind,32832,143947,143953,546.314,23944,143953
books_200M_uint64,cubic_spline,linear_spline,2048,labs,49200,2325.05,1067,15926.1,115,240019
books_200M_uint64,cubic_spline,linear_spline,2048,lind,65584,1524.38,825,9525.13,105,143953
books_200M_uint64,cubic_spline,linear_regression,2048,gabs,32824,94506.9,94519,668.465,47260,94519
books_200M_uint64,cubic_spline,linear_regression,2048,gind,32832,70934.1,70942,541.438,23683,70942
books_200M_uint64,cubic_spline,linear_regression,2048,labs,49200,1353.32,849,6228.97,105,94519
books_200M_uint64,cubic_spline,linear_regression,2048,lind,65584,1159.32,774,4670.51,103,70942
books_200M_uint64,linear_regression,linear_spline,2048,gabs,32808,9.30133e+06,9372291,463047,4686146,9372291
books_200M_uint64,linear_regression,linear_spline,2048,gind,32816,4.67169e+06,4687758,218350,1613,4687758
books_200M_uint64,linear_regression,linear_spline,2048,labs,49184,614725,1119,2.29594e+06,205,9372291
books_200M_uint64,linear_regression,linear_spline,2048,lind,65568,299580,867,1.13286e+06,154,4686390
books_200M_uint64,linear_regression,linear_regression,2048,gabs,32808,4.86972e+06,4902147,249942,2451074,4902147
books_200M_uint64,linear_regression,linear_regression,2048,gind,32816,4.0914e+06,4117256,202051,1666408,4117256
books_200M_uint64,linear_regression,linear_regression,2048,labs,49184,312771,887,1.17698e+06,163,4902147
books_200M_uint64,linear_regression,linear_regression,2048,lind,65568,266528,823,997871,155,4117256
books_200M_uint64,radix,linear_spline,2048,gabs,32800,7544.93,7545,13.914,3773,7545
books_200M_uint64,radix,linear_spline,2048,gind,32808,6885.94,6886,12.2165,3147,6886
books_200M_uint64,radix,linear_spline,2048,labs,49176,1902.73,1691,1279.14,41,7545
books_200M_uint64,radix,linear_spline,2048,lind,65560,1322.14,1304,789.359,28,3981
books_200M_uint64,radix,linear_regression,2048,gabs,32800,4280.98,4281,5.91363,2172,4281
books_200M_uint64,radix,linear_regression,2048,gind,32808,4253.98,4254,5.85703,2145,4254
books_200M_uint64,radix,linear_regression,2048,labs,49176,1399.41,1337,862.916,27,4281
books_200M_uint64,radix,linear_regression,2048,lind,65560,1270.71,1263,769.565,25,4042
books_200M_uint64,linear_spline,linear_spline,4096,gabs,65576,3318.98,3319,4.37016,1660,3319
books_200M_uint64,linear_spline,linear_spline,4096,gind,65584,3245.98,3246,4.2254,1587,3246
books_200M_uint64,linear_spline,linear_spline,4096,labs,98336,897.138,841,562.745,9,3319
books_200M_uint64,linear_spline,linear_spline,4096,lind,131104,649.204,648,374.476,8,1966
books_200M_uint64,linear_spline,linear_regression,4096,gabs,65576,2222.99,2223,2.09656,1243,2223
books_200M_uint64,linear_spline,linear_regression,4096,gind,65584,2170.99,2171,2.02344,1191,2171
books_200M_uint64,linear_spline,linear_regression,4096,labs,98336,677.219,667,400.259,9,2223
books_200M_uint64,linear_spline,linear_regression,4096,lind,131104,617.824,617,358.534,8,2004
books_200M_uint64,cubic_spline,linear_spline,4096,gabs,65592,246564,246607,1850.9,123304,246607
books_200M_uint64,cubic_spline,linear_spline,4096,gind,65600,140165,140170,551.569,16867,140170
books_200M_uint64,cubic_spline,linear_spline,4096,labs,98352,1764.27,743,14720.5,89,246607
books_200M_uint64,cubic_spline,linear_spline,4096,lind,131120,1067.07,565,7345.4,69,123548
books_200M_uint64,cubic_spline,linear_regression,4096,gabs,65592,44556.8,44561,283.843,22281,44561
books_200M_uint64,cubic_spline,linear_regression,4096,gind,65600,42557.1,42561,263.361,20530,42561
books_200M_uint64,cubic_spline,linear_regression,4096,labs,98352,813.354,597,2696.53,69,44561
books_200M_uint64,cubic_spline,linear_regression,4096,lind,131120,747.12,536,2570.06,69,42561
books_200M_uint64,linear_regression,linear_spline,4096,gabs,65576,9.28608e+06,9356821,461952,4678411,9356821
books_200M_uint64,linear_regression,linear_spline,4096,gind,65584,4.66364e+06,4679669,217902,1259,4679669
books_200M_uint64,linear_regression,linear_spline,4096,labs,98336,612528,803,2.29065e+06,115,9356821
books_200M_uint64,linear_regression,linear_spline,4096,lind,131104,298429,611,1.13026e+06,103,4678655
books_200M_uint64,linear_regression,linear_regression,4096,gabs,65576,4.86304e+06,4895385,249458,2447693,4895385
books_200M_uint64,linear_regression,linear_regression,4096,gind,65584,4.08538e+06,4111167,201628,1663625,4111167
books_200M_uint64,linear_regression,linear_regression,4096,labs,98336,311656,627,1.1746e+06,111,4895385
books_200M_uint64,linear_regression,linear_regression,4096,lind,131104,265542,581,995769,108,4111167
books_200M_uint64,radix,linear_spline,4096,gabs,65568,4510.97,4511,6.65403,2256,4511
books_200M_uint64,radix,linear_spline,4096,gind,65576,4278.97,4279,6.14601,2057,4279
books_200M_uint64,radix,linear_spline,4096,labs,98328,1250.93,1181,783.78,19,4511
books_200M_uint64,radix,linear_spline,4096,lind,131096,904.882,911,518.579,11,2506
books_200M_uint64,radix,linear_regression,4096,gabs,65568,3168.99,3169,3.64705,1616,3169
books_200M_uint64,radix,linear_regression,4096,gind,65576,3069.99,3070,3.48157,1616,3070
books_200M_uint64,radix,linear_regression,4096,labs,98328,944.36,927,557.784,11,3169
books_200M_uint64,radix,linear_regression,4096,lind,131096,861.243,863,496.674,11,2637
books_200M_uint64,linear_spline,linear_spline,8192,gabs,131112,2538.99,2539,3.02489,1270,2539
books_200M_uint64,linear_spline,linear_spline,8192,gind,131120,2517.99,2518,2.99613,1249,2518
books_200M_uint64,linear_spline,linear_spline,8192,labs,196640,641.524,589,400.328,9,2539
books_200M_uint64,linear_spline,linear_spline,8192,lind,262176,461.002,455,264.164,6,1470
books_200M_uint64,linear_spline,linear_regression,8192,gabs,131112,2050.99,2051,1.8737,1154,2051
books_200M_uint64,linear_spline,linear_regression,8192,gind,131120,1855,1855,1.63271,1036,1855
books_200M_uint64,linear_spline,linear_regression,8192,labs,196640,481.827,467,283.976,7,2051
books_200M_uint64,linear_spline,linear_regression,8192,lind,262176,438.482,430,253.288,6,1518
books_200M_uint64,cubic_spline,linear_spline,8192,gabs,131128,238543,238583,1760.85,119292,238583
books_200M_uint64,cubic_spline,linear_spline,8192,gind,131136,128394,128399,521.332,9108,128399
books_200M_uint64,cubic_spline,linear_spline,8192,labs,196656,1287.13,523,12541.6,65,238583
books_200M_uint64,cubic_spline,linear_spline,8192,lind,262192,780.303,396,6299.5,60,120346
books_200M_uint64,cubic_spline,linear_regression,8192,gabs,131128,47660.2,47665,314.53,23833,47665
books_200M_uint64,cubic_spline,linear_regression,8192,gind,131136,41775.1,41779,254.069,18178,41779
books_200M_uint64,cubic_spline,linear_regression,8192,labs,196656,598.328,409,2508.48,57,47665
books_200M_uint64,cubic_spline,linear_regression,8192,lind,262192,539.142,375,2201.65,53,41779
books_200M_uint64,linear_regression,linear_spline,8192,gabs,131112,9.27773e+06,9348351,461351,4674176,9348351
books_200M_uint64,linear_regression,linear_spline,8192,gind,131120,4.65923e+06,4675236,217656,1061,4675236
books_200M_uint64,linear_regression,linear_spline,8192,labs,196640,611287,555,2.2878e+06,81,9348351
books_200M_uint64,linear_regression,linear_spline,8192,lind,262176,297771,429,1.12886e+06,76,4674420
books_200M_uint64,linear_regression,linear_regression,8192,gabs,131112,4.85903e+06,4891327,249171,2445664,4891327
books_200M_uint64,linear_regression,linear_regression,8192,gind,131120,4.08195e+06,4107698,201387,1662185,4107698
books_200M_uint64,linear_regression,linear_regression,8192,labs,196640,310994,441,1.17323e+06,77,4891327
books_200M_uint64,linear_regression,linear_regression,8192,lind,262176,264966,406,994606,76,4107698
books_200M_uint64,radix,linear_spline,8192,gabs,131104,3318.98,3319,4.30696,1660,3319
books_200M_uint64,radix,linear_spline,8192,gind,131112,3245.98,3246,4.16,1620,3246
books_200M_uint64,radix,linear_spline,8192,labs,196632,897.137,841,562.745,9,3319
books_200M_uint64,radix,linear_spline,8192,lind,262168,649.204,648,374.476,8,1966
books_200M_uint64,radix,linear_regression,8192,gabs,131104,2222.99,2223,2.13085,1143,2223
books_200M_uint64,radix,linear_regression,8192,gind,131112,2170.99,2171,2.05895,1091,2171
books_200M_uint64,radix,linear_regression,8192,labs,196632,677.219,667,400.259,9,2223
books_200M_uint64,radix,linear_regression,8192,lind,262168,617.824,617,358.534,8,2004
books_200M_uint64,linear_spline,linear_spline,16384,gabs,262184,1784.99,1785,1.89301,893,1785
books_200M_uint64,linear_spline,linear_spline,16384,gind,262192,1710,1710,1.81245,818,1710
books_200M_uint64,linear_spline,linear_spline,16384,labs,393248,450.171,417,279.42,3,1785
books_200M_uint64,linear_spline,linear_spline,16384,lind,524320,322.963,320,182.922,3,1100
books_200M_uint64,linear_spline,linear_regression,16384,gabs,262184,1323,1323,0.892669,788,1323
books_200M_uint64,linear_spline,linear_regression,16384,gind,262192,1224,1224,0.802693,689,1224
books_200M_uint64,linear_spline,linear_regression,16384,labs,393248,338.03,329,196.865,3,1323
books_200M_uint64,linear_spline,linear_regression,16384,lind,524320,307.332,305,174.855,2,1057
books_200M_uint64,cubic_spline,linear_spline,16384,gabs,262200,216064,216097,1519.34,108049,216097
books_200M_uint64,cubic_spline,linear_spline,16384,gind,262208,116714,116718,455.014,8670,116718
books_200M_uint64,cubic_spline,linear_spline,16384,labs,393264,903.4,371,9817.4,47,216097
books_200M_uint64,cubic_spline,linear_spline,16384,lind,524336,544.195,281,4892.64,44,108293
