dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
fb_200M_uint64,linear_spline,linear_regression,4096,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,8192,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,16384,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,linear_spline,linear_regression,32768,4.4605e+07,44612930,2.57502e+07,0,89244405
fb_200M_uint64,linear_spline,linear_regression,65536,1.95926e+07,19634781,1.12976e+07,0,39365243
fb_200M_uint64,linear_spline,linear_regression,131072,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,262144,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,524288,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,1048576,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,2097152,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,4194304,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,8388608,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,16777216,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_spline,linear_regression,33554432,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_spline,64,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,128,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,256,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,512,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,1024,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,2048,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,4096,9.99931e+07,99993103,5.77311e+07,0,199986246
fb_200M_uint64,cubic_spline,linear_spline,8192,9.9989e+07,99988970,5.77287e+07,0,199978007
