dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,lookup_time,lookup_accu
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_exponential,8240,2,20000000,9718908481,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gabs,binary,8248,0,20000000,10901202777,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gabs,binary,8248,1,20000000,10901850464,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gabs,binary,8248,2,20000000,10901772610,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,model_biased_binary,8256,0,20000000,10352346695,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,model_biased_binary,8256,1,20000000,10351780222,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,model_biased_binary,8256,2,20000000,10350556909,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,binary,8256,0,20000000,10838061190,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,binary,8256,1,20000000,10854459061,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,gind,binary,8256,2,20000000,10847608671,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,labs,binary,12336,0,20000000,8593404625,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,labs,binary,12336,1,20000000,8583329244,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,labs,binary,12336,2,20000000,8593151050,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,model_biased_binary,16432,0,20000000,8208598799,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,model_biased_binary,16432,1,20000000,8197887294,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,model_biased_binary,16432,2,20000000,8208048977,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,binary,16432,0,20000000,8112428752,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,binary,16432,1,20000000,8122709580,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,lind,binary,16432,2,20000000,8112570829,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_linear,16432,0,20000000,19672984384,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_linear,16432,1,20000000,19673467376,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_linear,16432,2,20000000,19674229267,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_exponential,16432,0,20000000,8995862423,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_exponential,16432,1,20000000,9007456817,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,none,model_biased_exponential,16432,2,20000000,8994975481,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gabs,binary,16440,0,20000000,10196044409,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gabs,binary,16440,1,20000000,10185166838,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gabs,binary,16440,2,20000000,10196772275,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,model_biased_binary,16448,0,20000000,9766138895,2000207222435828
