dataset,n_keys,rmi,layer1,layer2,n_models,bounds,size_in_bytes,rep,build_time,checksum
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,none,2080,1,1487945097,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,none,2080,2,1488012938,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gabs,2088,0,4311891534,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gabs,2088,1,4324794472,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gabs,2088,2,4312223392,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gind,2096,0,4188513499,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gind,2096,1,4188212151,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,gind,2096,2,4201064595,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,labs,3104,0,4259688702,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,labs,3104,1,4259578189,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,labs,3104,2,4272119812,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,lind,4128,0,4354687229,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,lind,4128,1,4367584735,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,lind,4128,2,4367546053,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,none,2080,0,3587213765,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,none,2080,1,3612973300,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,none,2080,2,3600075211,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gabs,2088,0,6365356727,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gabs,2088,1,6379566250,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gabs,2088,2,6378818274,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gind,2096,0,6312339775,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gind,2096,1,6325407214,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,gind,2096,2,6325308466,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,labs,3104,0,6368173104,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,labs,3104,1,6381074480,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,labs,3104,2,6380670659,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,lind,4128,0,6438198668,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,lind,4128,1,6450753489,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,128,lind,4128,2,6451144798,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,none,2080,0,3564292538,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,none,2080,1,3589613556,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,none,2080,2,3576924477,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gabs,2088,0,6368287083,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gabs,2088,1,6380879948,0
